libxv 1.0.11-4
libxvmc 1.0.12-3
libxxf86vm 1.1.4-4
libyaml 0.2.5-1
libzip 1.7.3-1
libzmf 0.0.2-8
licenses 20200427-1
lilv 0.24.10-1
linux-api-headers 5.8-1
linux-firmware 20201113.2ea8667-1
linux-hardened 5.9.10.a-1
lirc 1:0.10.1-6
llvm-libs 11.0.0-1
lm_sensors 3.6.0-2
lmdb 0.9.27-1
logrotate 3.17.0-1
lpsolve 5.5.2.5-4
lsof 4.94.0-1
lua 5.4.1-1
lua53 5.3.6-1
luit 20201003-1
lvm2 2.02.187-3
lxappearance 0.6.3-4
lz4 1:1.9.2-2
lzo 2.10-3
m4 1.4.18-3
mailcap 2.1.49-1
make 4.3-3
man-db 2.9.3-1
man-pages 5.09-2
mariadb 10.5.8-1
mariadb-clients 10.5.8-1
mariadb-libs 10.5.8-1
md4c 0.4.6-1
mdadm 4.1-2
media-player-info 24-2
mesa 20.2.3-1
minizip 1:1.2.11-4
mkinitcpio 29-1
mkinitcpio-busybox 1.31.1-2
mobile-broadband-provider-info 20190618-2
moc 1:2.5.2-3
mpfr 4.1.0-1
mpg123 1.26.3-2
mplayer 38157-3
mtdev 1.1.6-1
nano 5.3-1
ncurses 6.2-1
ncurses5-compat-libs 6.1-1
ndctl 70.1-1
neon 0.31.2-1
net-snmp 5.9-1
netctl 1.23-1
netpbm 10.73.33-1
nettle 3.6-1
network-manager-applet 1.18.0-1
networkmanager 1.26.4-1
networkmanager-openvpn 1.8.12-1
nm-connection-editor 1.18.0-1
node-gyp 7.1.0-1
nodejs 15.3.0-1
npm 6.14.8-2
npth 1.6-2
nspr 4.29-1
nss 3.59-1
ntfs-3g 2017.3.23-5
ntp 4.2.8.p15-1
numix-circle-icon-theme-git 0.r54.cc59306-1
numix-gtk-theme-git 2.6.7.r51.b652b19-1
numix-icon-theme-git 0.r1994.ea068b43a-1
okular 20.08.3-2
oniguruma 6.9.6-1
openal 1.21.0-1
openboard-develop 1.6.0-4
opencore-amr 0.1.5-5
openexr 2.5.3-1
openjpeg2 2.3.1-2
openmotif 2.3.8-3
openmpi 4.0.5-2
openresolv 3.11.0-1
openssh 8.4p1-2
openssl 1.1.1.h-1
openvpn 2.5.0-3
opera-ffmpeg-codecs 86.0.4240.198-1
opus 1.3.1-2
orc 0.4.32-1
p11-kit 0.23.21-1
p7zip 16.02-6
pacman 5.2.2-1
pacman-contrib 1.4.0-1
pacman-mirrorlist 20201031-1
pam 1.5.0-1
pambase 20200721.1-2
pandoc 2.11.0.4-13
pandoc-citeproc 0.17.0.2-90
pango 1:1.48.0-1
pangomm 2.42.1-2
parted 3.3-2
patch 2.7.6-8
pavucontrol 1:4.0-2
pciutils 3.7.0-1
pcre 8.44-1
pcre2 10.35-1
pdfgrep 2.1.2-2
pdftk 3.2.1-1
perl 5.32.0-3
perl-alien-build 2.37-1
perl-alien-libxml2 0.17-1
perl-archive-zip 1.68-3
perl-bit-vector 7.4-11
perl-cairo-gobject 1.004-10
perl-capture-tiny 0.48-4
perl-carp-clan 6.08-3
perl-class-data-inheritable 0.08-9
perl-clone 0.45-2
perl-common-sense 3.75-2
perl-config-general 2.63-4
perl-data-uuid 1.221-8
perl-date-calc 6.4-7
perl-devel-stacktrace 2.03-4
perl-encode-locale 1.05-7
perl-error 0.17029-2
perl-exception-class 1.44-4
perl-exporter-tiny 1.002002-2
perl-extutils-depends 0.8000-4
perl-extutils-pkgconfig 1.16-7
perl-ffi-checklib 0.27-2
perl-file-chdir 0.1011-4
perl-file-listing 6.11-1
perl-file-next 1.18-2
perl-file-which 1.23-4
perl-filesys-df 0.92-11
perl-font-ttf 1.06-4
perl-glib-object-introspection 0.047-5
perl-goocanvas2 0.06-2
perl-gtk3 0.037-1
perl-gtk3-imageview 6-1
perl-gtk3-simplelist 0.21-1
perl-html-parser 3.75-1
perl-html-tagset 3.20-10
perl-http-cookies 6.09-1
perl-http-daemon 6.06-2
perl-http-date 6.05-3
perl-http-message 6.26-1
perl-http-negotiate 6.01-8
perl-image-exiftool 12.00-2
perl-image-sane 5-2
perl-image-size 3.300-4
perl-io-html 1.004-1
perl-io-string 1.08-12
perl-json-xs 4.0-4
perl-latexml 0.8.4-1
perl-libwww 6.49-1
perl-list-moreutils 0.430-1
perl-list-moreutils-xs 0.430-1
perl-locale-codes 3.62-2
perl-locale-gettext 1.07-10
perl-log-log4perl 1.53-1
perl-lwp-mediatypes 6.02-8
perl-mailtools 2.21-4
perl-net-http 6.19-4
perl-parse-recdescent 1.967015-2
perl-path-tiny 0.114-1
perl-pdf-api2 2.037-1
perl-pdf-builder 3.019-1
